,Transect_Name,BarCount,SLType,WaveIndx,AveWavelength,BarDistance,BarDepth,NearshoreSlope,BW,CurveRatio,RecRate,RecRate_1,RecRate_2,RecRate_3,Class
0,IL_1_1,1,42,0.8187113373545954,133.0,186.563,-0.704,nan,91.558,nan,-2.19001,0.6,0.2,0.2,0
1,IL_1_100,0,43,0.8187113373545954,-0.0,1.379,3.187,nan,91.558,nan,-2.19001,0.8666666666666667,0.06666666666666667,0.06666666666666667,0
2,IL_1_101,0,43,0.8187113373545954,-0.0,1.379,3.68,nan,91.558,nan,-2.19001,0.8666666666666667,0.06666666666666667,0.06666666666666667,0
3,IL_1_102,0,43,0.8187113373545954,-0.0,1.379,3.68,nan,91.558,nan,-2.19001,0.8666666666666667,0.06666666666666667,0.06666666666666667,0
4,IL_1_103,0,43,0.8187113373545954,-0.0,1.379,3.68,nan,91.558,nan,-2.19001,0.8666666666666667,0.06666666666666667,0.06666666666666667,0
5,IL_1_104,0,43,0.8187113373545954,-0.0,1.379,3.68,nan,91.558,nan,-2.19001,0.8666666666666667,0.06666666666666667,0.06666666666666667,0
6,IL_1_105,0,43,0.8187113373545954,-0.0,1.379,3.187,nan,91.558,nan,-2.19001,0.8666666666666667,0.06666666666666667,0.06666666666666667,0
7,IL_1_106,0,43,0.8187113373545954,-0.0,1.379,3.68,nan,91.558,nan,-2.19001,0.8666666666666667,0.06666666666666667,0.06666666666666667,0
8,IL_1_107,0,43,0.8187113373545954,93.0,1.379,3.68,nan,91.558,nan,-2.19001,0.8666666666666667,0.06666666666666667,0.06666666666666667,0
9,IL_1_108,0,43,0.8187113373545954,133.0,137.664,3.68,nan,91.558,nan,-2.19001,0.3333333333333333,0.5,0.16666666666666666,1
10,IL_1_109,0,43,0.7049779853433096,93.0,1.379,3.68,nan,91.558,nan,-2.19001,0.6,0.2,0.2,0
11,IL_1_110,0,43,0.7049779853433096,93.0,1.379,3.68,nan,91.558,nan,-2.19001,0.6,0.2,0.2,0
12,IL_1_111,1,43,0.7049779853433096,93.0,1.379,3.187,nan,91.558,nan,-2.19001,0.5,0.25,0.25,0
13,IL_1_17,,23,0.8187113373545954,nan,nan,nan,nan,91.558,nan,0.4,0.2,0.2,0.6,2
14,IL_1_18,,23,0.8187113373545954,nan,nan,nan,nan,91.558,nan,0.4,0.2,0.2,0.6,2
15,IL_1_187,0,41,0.8187113373545954,93.0,1.379,2.583,-0.007,0.001,-0.0,-2.19001,0.2857142857142857,0.6428571428571429,0.07142857142857142,1
16,IL_1_188,0,41,0.8187113373545954,-0.0,1.379,2.583,nan,10.927,nan,-2.19001,0.8076923076923077,0.11538461538461539,0.07692307692307693,0
17,IL_1_189,0,41,0.8187113373545954,93.0,1.379,2.583,-0.007,34.688,-0.0,-2.19001,0.2857142857142857,0.6428571428571429,0.07142857142857142,1
18,IL_1_19,,44,0.8187113373545954,nan,nan,nan,nan,91.558,nan,0.4,0.08333333333333333,0.08333333333333333,0.8333333333333334,2
19,IL_1_190,0,41,0.8187113373545954,93.0,1.379,2.583,-0.007,34.688,-0.0,-2.19001,0.2857142857142857,0.6428571428571429,0.07142857142857142,1
20,IL_1_2,0,42,0.8187113373545954,93.0,1.379,-0.704,nan,91.558,nan,-2.19001,0.5,0.25,0.25,0
21,IL_1_20,,44,0.8187113373545954,nan,nan,nan,nan,91.558,nan,0.4,0.08333333333333333,0.08333333333333333,0.8333333333333334,2
22,IL_1_204,,23,0.7049779853433096,nan,nan,nan,nan,91.558,nan,0.4,0.14285714285714285,0.14285714285714285,0.7142857142857143,2
23,IL_1_205,,23,0.7049779853433096,nan,nan,nan,nan,34.688,nan,0.4,0.14285714285714285,0.14285714285714285,0.7142857142857143,2
24,IL_1_21,,44,0.8187113373545954,nan,nan,nan,nan,91.558,nan,0.4,0.08333333333333333,0.08333333333333333,0.8333333333333334,2
25,IL_1_22,0,44,0.8187113373545954,-0.0,1.379,2.583,nan,91.558,nan,0.4,0.058823529411764705,0.058823529411764705,0.8823529411764706,2
26,IL_1_23,0,44,0.8187113373545954,-0.0,1.379,2.583,nan,91.558,nan,0.4,0.058823529411764705,0.058823529411764705,0.8823529411764706,2
27,IL_1_24,0,44,0.8187113373545954,-0.0,1.379,2.583,nan,91.558,nan,0.4,0.058823529411764705,0.058823529411764705,0.8823529411764706,2
28,IL_1_3,0,42,0.8187113373545954,175.0,237.794,nan,nan,91.558,nan,-2.19001,0.5,0.25,0.25,0
